ZONENO,CENTROID_X,CENTROID_Y,DESCRIPTIO,WARD,AREAKM2
5151,414280,283064,South Lyndon,Lyndon,1km2
5152,413708,283677,North Lyndon,Lyndon,1km2
5161,414450,282214,West Elmdon,Elmdon,1km2
5162,416284,282943,East Elmdon,Elmdon,2km2
5163,415396,283134,North Elmdon,Elmdon,2km2
5171,414592,280963,West Silhill,Silhill,1km2
5172,415893,279867,East Silhill,Silhill,1km2
5173,415748,281087,North Silhill,Silhill,2km2
5201,417628,277407,North Knowle,Knowle,3km2
5202,415349,279273,East St Alphege,St Alphege,1km2
5203,415977,279250,East St Alphege,St Alphege,1km2
5204,414041,278315,West St Alphege,St Alphege,1km2
5205,415046,278131,West St Alphege,St Alphege,1km2
5206,413376,280139,North St Alphege,St Alphege,1km2
5207,414418,280138,North St Alphege,St Alphege,1km2
5208,414984,280137,West Silhill,Silhill,0km2
5209,416275,280425,East Silhill,Silhill,1km2
5210,417444,279872,East Silhill,Silhill,1km2
5211,416906,283429,West Bickenhill,Bickenhill,0km2
5212,420320,283690,East Bickenhill,Bickenhill,2km2
5213,418507,285427,East Bickenhill,Bickenhill,3km2
6011,396563,295566,South Darlaston South,Darlaston South,1km2
6012,397654,296095,East Darlaston South,Darlaston South,1km2
6013,397109,296872,West Darlaston South,Darlaston South,1km2
6021,396586,297905,South Willenhall South,Willenhall South,1km2
6022,396009,298973,West Willenhall South,Willenhall South,2km2
6023,397370,298761,East Willenhall South,Willenhall South,1km2
6031,396870,300247,West Short Heath,Short Heath,1km2
6032,397715,299912,East Short Heath,Short Heath,1km2
6033,397920,300788,North Short Heath,Short Heath,1km2
6041,397857,301402,East Willenhall North,Willenhall North,1km2
6042,397454,302066,North Willenhall North,Willenhall North,1km2
6043,397019,301480,West Willenhall North,Willenhall North,1km2
6051,397964,297096,South Bentley and Darlaston No,Bentley and Darlaston North,1km2
6052,398567,297722,Central Bentley and Darlaston,Bentley and Darlaston North,2km2
6053,398427,299150,North Bentley and Darlastone N,Bentley and Darlaston North,2km2
6061,399888,297194,South Pleck,Pleck,1km2
6062,400374,298257,North Pleck,Pleck,0km2
6063,399883,298221,West Pleck,Pleck,1km2
6071,399950,299194,South Burchills Leamore,Birchills Leamore,2km2
6072,399433,300410,North West Burchills Leamore,Birchills Leamore,2km2
6073,400412,300922,North East Burchills Leamore,Birchills Leamore,1km2
6081,401671,296229,South Palfrey,Palfrey,2km2
6082,401031,297265,North Palfrey,Palfrey,1km2
6091,400924,297942,South St Matthew's,St Matthew's,0km2
6092,401503,298773,West St Matthew's,St Matthew's,0km2
6093,400825,299747,North St Matthew's,St Matthew's,0km2
6094,401934,298736,East St Matthew's,St Matthew's,0km2
6101,401578,300498,South Blakenall,Blakenall,1km2
6102,400967,301219,Central Blakenall,Blakenall,1km2
6103,401787,301592,North Blakenall,Blakenall,1km2
6111,406630,295646,East Pheasey,Pheasey,1km2
6112,405618,296758,North Pheasey,Pheasey,3km2
6113,405870,295345,West Pheasey,Pheasey,2km2
6121,407832,297258,South Streetly,Streetly,2km2
6122,407429,297952,Central Streetly,Streetly,2km2
6123,407760,298809,North Streetly,Streetly,3km2
6131,405539,301674,North Aldridge Central and Sou,Aldridge Central and South,2km2
6132,404900,300199,West Aldridge Central and Sout,Aldridge Central and South,5km2
6133,405849,300163,East Aldridge Central and Sout,Aldridge Central and South,5km2
6141,405958,302233,South Aldridge North and Walsa,Aldridge North and Walsall Woo,1km2
6142,405219,304333,North Aldridge North and Walsa,Aldridge North and Walsall Woo,2km2
6143,404791,303237,West Aldridge North and Walsal,Aldridge North and Walsall Woo,3km2
6144,405538,303426,East Aldridge North and Walsal,Aldridge North and Walsall Woo,2km2
6151,403534,296671,South Paddock,Paddock,2km2
6152,402325,298231,West Paddock,Paddock,1km2
6153,403936,297556,East Paddock,Paddock,1km2
6161,402142,299405,South Hetherton Rushall,Hatherton Rushall,3km2
6162,403109,301109,Central Haterton Rushall,Hatherton Rushall,4km2
6163,403331,301997,North Hatherton Rushall,Hatherton Rushall,1km2
6171,403182,302550,East Pelsall,Pelsall,1km2
6172,402165,303931,North Pelsall,Pelsall,3km2
6173,402007,302951,West Pelsall,Pelsall,1km2
6181,400375,303187,North Bloxwich East,Bloxwich East,2km2
6182,400905,302393,East Bloxwich East,Bloxwich East,1km2
6183,400296,302087,West Bloxwich East,Bloxwich East,1km2
6191,399435,301940,South Bloxwich West,Bloxwich West,2km2
6192,399303,303222,East Bloxwich West,Bloxwich West,1km2
6193,398669,302740,West Bloxwich West,Bloxwich West,1km2
6201,405166,305672,East Brownhills,Brownhills,1km2
6202,403956,306696,North Brownhills,Brownhills,2km2
6203,404233,305037,West Brownhills,Brownhills,4km2
6301,400930,298492,North Pleck,Pleck,1km2
6302,401617,296946,North Palfrey,Palfrey,0km2
6303,401346,297776,South St Matthew's,St Matthew's,0km2
6304,401843,297562,South St Matthew's,St Matthew's,0km2
6305,402373,297114,South St Matthew's,St Matthew's,0km2
6306,401342,298392,West St Matthew's,St Matthew's,0km2
6307,401846,298344,East St Matthew's,St Matthew's,0km2
6308,402313,297674,West Paddock,Paddock,0km2
6309,403114,297584,West Paddock,Paddock,1km2
6310,400962,299517,North St Matthew's,St Matthew's,1km2
7011,388459,296207,South Merry hill,Merry Hill,1km2
7012,389082,297529,East Merry hill,Merry Hill,1km2
7013,388343,297216,West Merry hill,Merry Hill,1km2
7021,389825,295532,South Penn,Penn,1km2
7022,390117,296357,East Penn,Penn,1km2
7023,388982,295981,West Penn,Penn,1km2
7031,389745,297239,South Graiseley,Graiseley,1km2
7032,390420,297631,Central Graiseley,Graiseley,1km2
7033,390286,298325,Wolverhampton,Graiseley,0km2
7041,391501,296283,South Blakenhall,Blakenhall,2km2
7042,391386,296909,Central Blakenhall,Blakenhall,1km2
7043,391174,297575,North Blakenhall,Blakenhall,0km2
7051,393137,294666,South Spring Vale,Spring Vale,1km2
7052,393123,295559,East Spring Vale,Spring Vale,1km2
7053,392408,295316,West Spring Vale,Spring Vale,1km2
7061,394389,295429,South Ettingshall,Ettingshall,1km2
7062,392396,296972,North Ettingshall,Ettingshall,2km2
7063,394044,296464,East Ettingshall,Ettingshall,1km2
7064,393355,297039,West Ettingshall,Ettingshall,1km2
7065,394566,296391,South West Ettingshall,Ettingshall,0km2
7071,395740,295099,South Bilston East,Bilston East,2km2
7072,395374,295998,Central Bilston East,Bilston East,1km2
7073,395748,296851,North East Bilson East,Bilston East,1km2
7074,394741,296541,North West Bilston East,Bilston East,0km2
7081,395407,297981,East Bilston North,Bilston North,1km2
7082,395361,297269,Central Bilston North,Bilston North,1km2
7083,394457,297430,West Bilston North,Bilston North,1km2
7091,393594,298778,North East Park,East Park,2km2
7092,393605,297510,West East Park,East Park,1km2
7093,393970,298215,East East Park,East Park,1km2
7101,393945,299624,South Wednesfield South,Wednesfield South,2km2
7102,395855,300515,East Wednesfield South,Wednesfield South,1km2
7103,394923,301035,West Wednesfield South,Wednesfield South,1km2
7104,394839,300106,Central Wednesfield South,Wednesfield South,0km2
7111,395021,301419,West Wednesfield North,Wednesfield North,0km2
7112,396012,302172,North Wednesfield North,Wednesfield North,1km2
7113,396294,301484,East Wednesfield North,Wednesfield North,1km2
7121,393402,301029,South Fallings Park,Fallings Park,1km2
7122,393941,301728,Central Fallings Park,Fallings Park,1km2
7123,393328,302149,North Fallings Park,Fallings Park,1km2
7131,392515,301747,North Low Hill,Low Hill,1km2
7132,392415,300909,Central Low Hill,Low Hill,1km2
7133,392290,300029,South Low Hill,Low Hill,1km2
7141,387547,300690,West Tettenhall Regis,Tettenhall Regis,1km2
7142,389294,301066,Central Tettenhall Regis,Tettenhall Regis,3km2
7143,389454,302241,North Tettinghall Regis,Tettenhall Regis,1km2
7151,387114,298184,South Tettenhall Wightwick,Tettenhall Wightwick,2km2
7152,388218,299942,North Tettenhall Wightwick,Tettenhall Wightwick,1km2
7153,387860,299166,Central Tettenhall Wightwick,Tettenhall Wightwick,1km2
7161,390540,298993,East Park,Park,1km2
7162,389836,299410,West Park,Park,1km2
7163,388728,298304,South Park,Park,2km2
7171,390754,300014,Central St Peter's,St Peter's,1km2
7172,391406,298511,South West St Peter's,St Peter's,0km2
7173,392076,298747,South West St Peter's,St Peter's,0km2
7174,391600,299410,East St Peter's,St Peter's,0km2
7175,389952,300011,West St Peter's,St Peter's,1km2
7181,390082,302933,West Oxley,Oxley,1km2
7182,390860,301653,South Oxley,Oxley,2km2
7183,391068,302946,Central Oxley,Oxley,1km2
7184,391569,303732,North Oxley,Oxley,1km2
7191,391388,301926,South West Bushbury,Bushbury,1km2
7192,392248,303190,North East Bushbury,Bushbury,2km2
7193,391722,303377,North West Bushbury,Bushbury,1km2
7194,391896,302008,South East Bushbury,Bushbury,0km2
7201,392606,299378,South Heath Town,Heath Town,1km2
7202,394131,300484,North Heath Town,Heath Town,1km2
7203,393044,300056,West Heath Town,Heath Town,1km2
7204,393820,300260,Central Heath Town,Heath Town,0km2
7301,390859,298216,North Graiseley,Graiseley,0km2
7302,391427,297414,North Blakenhall,Blakenhall,0km2
7303,390244,298676,East Park,Park,0km2
7304,389931,298747,East Park,Park,0km2
7305,390978,299431,Central St Peter's,St Peter's,0km2
7306,391426,299614,Central St Peter's,St Peter's,0km2
7307,391427,298763,South West St Peter's,St Peter's,0km2
7308,391568,298934,South West St Peter's,St Peter's,0km2
7309,391178,298499,South West St Peter's,St Peter's,0km2
7310,391649,298726,South West St Peter's,St Peter's,0km2
7311,391180,298356,South West St Peter's,St Peter's,0km2
7312,391511,298203,South West St Peter's,St Peter's,0km2
7313,391668,298268,South West St Peter's,St Peter's,0km2
7314,392157,298340,South West St Peter's,St Peter's,0km2
7315,391932,297893,South East St Peter's,St Peter's,0km2
7316,391485,300661,East St Peter's,St Peter's,0km2
7317,392003,299717,East St Peter's,St Peter's,0km2
8201,381046,304101,,,18km2
8202,372415,292593,,,5km2
8203,379540,292999,,,33km2
8204,374385,301794,,,43km2
8205,374976,308382,,,17km2
8206,374860,307395,,,22km2
8207,368993,294398,,,55km2
8208,379471,307751,,,49km2
8209,375916,295583,,,48km2
8210,365670,301111,,,68km2
8211,371091,293310,,,6km2
8301,400287,312191,,,4km2
8302,405077,316755,,,5km2
8303,400937,314612,,,23km2
8304,398277,312027,,,1km2
8305,398377,309618,,,4km2
8306,399058,311634,,,1km2
8307,403318,318775,,,2km2
8308,403913,317064,,,3km2
8309,400693,310568,,,4km2
8310,397239,309772,,,1km2
8311,402124,308252,,,15km2
8312,397758,310770,,,2km2
8313,399177,313352,,,3km2
8314,402792,312266,,,9km2
8315,404114,318451,,,2km2
8316,406234,308729,,,0km2
8317,416200,313692,,,30km2
8318,408593,315876,,,8km2
8319,405032,310135,,,1km2
8320,417114,302188,,,44km2
8321,412433,309365,,,2km2
8322,411163,310574,,,1km2
8323,404093,309902,,,2km2
8324,404769,308611,,,5km2
8325,407532,319137,,,40km2
8326,411782,310803,,,1km2
8327,419327,302125,,,6km2
8328,405787,307907,,,10km2
8329,406587,309329,,,7km2
8330,411189,314956,,,28km2
8331,410800,309386,,,3km2
8332,409023,299920,,,6km2
8333,407065,314019,,,18km2
8334,423144,311113,,,42km2
8335,405188,309532,,,1km2
8336,410697,304425,,,22km2
8337,412174,308679,,,5km2
8338,407259,303741,,,9km2
8339,412578,310286,,,1km2
8340,405373,308531,,,1km2
8341,418852,307319,,,20km2
8342,416190,308411,,,20km2
8343,393541,317999,,,32km2
8344,387904,303199,,,6km2
8345,384369,311997,,,60km2
8346,389896,307647,,,40km2
8347,397941,307074,,,4km2
8348,386588,303654,,,5km2
8349,386920,302707,,,7km2
8350,396429,303476,,,15km2
8351,393802,305267,,,7km2
8352,398804,306134,,,3km2
8353,399027,307305,,,2km2
8354,397422,312713,,,6km2
8355,385096,284189,,,42km2
8356,387190,296341,,,7km2
8357,382191,299119,,,18km2
8358,392843,314331,,,4km2
8359,392723,313509,,,10km2
8360,391668,313805,,,27km2
8361,386101,299678,,,1km2
8362,386463,299887,,,16km2
8363,395189,307821,,,21km2
8364,387065,291102,,,17km2
8365,383194,291904,,,45km2
8366,387368,293734,,,7km2
8367,387432,292700,,,2km2
8368,386499,292338,,,2km2
8369,423183,304013,,,5km2
8370,421938,302336,,,2km2
8371,421972,303641,,,2km2
8372,420497,303635,,,6km2
8373,423063,302800,,,1km2
8374,419680,305231,,,2km2
8375,420814,305292,,,5km2
8376,423918,301961,,,2km2
8377,421472,300953,,,3km2
8378,422835,300729,,,4km2
8379,392633,322727,,,20km2
8501,428896,289996,,,8km2
8502,431077,298244,,,3km2
8503,430916,297419,,,1km2
8504,426974,298335,,,5km2
8506,419720,289787,,,7km2
8507,420172,288128,,,24km2
8508,417487,294737,,,27km2
8509,426079,300620,,,9km2
8510,427268,287560,,,55km2
8511,427767,298560,,,24km2
8512,432613,294071,,,9km2
8513,424222,297087,,,15km2
8514,421725,296909,,,12km2
8515,431079,294684,,,19km2
8516,422628,292576,,,24km2
8517,426663,306586,,,15km2
8518,426065,302119,,,8km2
8519,428825,304899,,,17km2
8520,417818,291032,,,3km2
8521,435706,291907,,,2km2
8522,434427,291031,,,12km2
8523,437031,290374,,,4km2
8524,438589,287117,,,14km2
8525,433770,292869,,,3km2
8526,435754,290850,,,2km2
8527,433666,285183,,,6km2
8528,432531,291672,,,5km2
8529,433991,286332,,,6km2
8530,435524,287401,,,2km2
8531,436095,286183,,,3km2
8532,437790,292489,,,5km2
8533,433531,292150,,,2km2
8534,436983,293206,,,6km2
8535,438360,290020,,,6km2
8536,452522,277304,,,15km2
8537,447786,272540,,,22km2
8538,439903,277156,,,13km2
8539,443320,282098,,,74km2
8540,441504,270866,,,36km2
8541,447465,275881,,,8km2
8542,449215,266479,,,55km2
8543,438451,274188,,,9km2
8544,448845,278551,,,37km2
8545,441236,275524,,,11km2
8546,442389,287877,,,45km2
8547,408903,257754,,,21km2
8548,415193,258794,,,33km2
8549,415339,254318,,,32km2
8550,409803,252220,,,16km2
8551,419709,264420,,,25km2
8552,414844,266202,,,18km2
8553,410086,258247,,,14km2
8554,406933,251758,,,19km2
8555,407461,263811,,,37km2
8556,423273,258754,,,41km2
8557,419058,255543,,,3km2
8558,407077,263501,,,9km2
8559,410848,273314,,,15km2
8560,411096,270673,,,19km2
8561,416251,262564,,,23km2
8562,428537,272238,,,14km2
8563,429579,261183,,,28km2
8564,432062,264629,,,2km2
8565,425268,264594,,,19km2
8566,432015,266036,,,4km2
8567,433097,267118,,,1km2
8568,434246,268859,,,30km2
8569,418918,270826,,,49km2
8570,425144,267989,,,37km2
8571,432268,267336,,,2km2
8572,430899,266189,,,2km2
8573,429797,272781,,,4km2
8574,434956,264699,,,23km2
8575,429387,271350,,,6km2
8576,431331,274084,,,31km2
8577,428914,266236,,,4km2
8578,429738,264622,,,9km2
8579,427680,264908,,,8km2
8580,432468,263335,,,5km2
8581,432888,265034,,,2km2
8582,437238,258373,,,56km2
8583,441204,265015,,,20km2
8584,430961,255302,,,26km2
8585,418486,247435,,,38km2
8586,421577,254647,,,17km2
8587,419246,254499,,,3km2
8588,420031,255965,,,5km2
8589,415791,251247,,,32km2
8590,427685,255039,,,19km2
8592,427015,241751,,,250km2
8593,440908,257399,,,187km2
8594,452415,274278,,,9km2
8595,449525,273732,,,9km2
8596,448912,274853,,,4km2
8597,450905,276397,,,8km2
8598,434743,274808,,,5km2
8601,403584,272595,,,39km2
8602,399571,273690,,,11km2
8603,398638,276959,,,3km2
8604,396435,274106,,,3km2
8605,400455,275627,,,5km2
8606,407999,276996,,,9km2
8607,391801,278452,,,22km2
8608,390506,280468,,,8km2
8609,409525,277288,,,3km2
8610,396751,271663,,,7km2
8611,395875,271652,,,2km2
8612,408375,275297,,,7km2
8613,394747,267458,,,10km2
8614,399141,269259,,,35km2
8615,397309,278749,,,22km2
8616,395145,270475,,,2km2
8617,394455,273985,,,26km2
8618,405449,268571,,,3km2
8619,402990,267969,,,4km2
8620,403929,266743,,,3km2
8621,406614,268558,,,2km2
8622,403798,264919,,,2km2
8623,403446,263250,,,24km2
8624,405458,265176,,,3km2
8625,405042,266750,,,3km2
8626,407466,266568,,,4km2
8627,402550,266355,,,4km2
8628,407301,267290,,,2km2
8629,392403,266225,,,23km2
8630,390012,263091,,,3km2
8631,389591,261955,,,3km2
8632,388756,263615,,,3km2
8633,384201,270770,,,18km2
8634,402782,258224,,,28km2
8635,388221,264962,,,44km2
8636,386444,259156,,,6km2
8637,384198,264574,,,32km2
8638,383913,275147,,,5km2
8639,380319,270091,,,3km2
8640,378007,275238,,,9km2
8641,388194,278581,,,16km2
8642,383897,277800,,,2km2
8643,388228,274165,,,37km2
8644,384599,280235,,,8km2
8645,382123,277831,,,2km2
8646,383967,276936,,,1km2
8647,381607,276795,,,2km2
8648,380657,272491,,,5km2
8649,381449,271507,,,5km2
8650,384766,276562,,,2km2
8651,381929,274899,,,3km2
8652,374101,273068,,,43km2
8653,382187,276044,,,2km2
8654,382354,279696,,,14km2
8655,378979,276568,,,38km2
8656,392161,258241,,,35km2
8657,396566,262083,,,36km2
8658,388047,251858,,,27km2
8659,395943,253704,,,38km2
8660,395702,244182,,,241km2
8661,386093,255568,,,26km2
8662,395972,269479,,,4km2
8663,383478,254618,,,8km2
8664,405745,243490,,,126km2
8701,369258,306424,,,31km2
8702,365261,308490,,,46km2
8703,370458,312146,,,36km2
8704,365912,311962,,,29km2
9101,351474,236125,,,925km2
9102,343735,258409,,,818km2
9103,368523,244870,,,455km2
9201,355929,332934,,,679km2
9202,330129,329672,,,256km2
9203,348592,311809,,,602km2
9204,347546,281795,,,1027km2
9205,371273,284921,,,271km2
9301,423101,323675,,,252km2
9302,409031,335886,,,138km2
9303,383197,348005,,,211km2
9304,385155,326445,,,336km2
9305,393535,331368,,,243km2
9306,394883,357258,,,309km2
9307,398349,345851,,,267km2
9401,389199,346699,,,93km2
9601,363727,268152,,,115km2
9602,379608,248310,,,444km2
9701,367237,318657,,,144km2
9702,374665,319192,,,4km2
