x,y,Number,Name,VolPrt
419468.8708,288490.9125,109400,Update due to Merge Coding,5587.334485
419505.3764,288396.5059,109656,M42 Junction 8,5587.334485
414472.7628,275355.9351,109674,,5577.98166
414435.6235,275257.24,109675,,5577.98166
413132.1509,272855.5851,109727,,5577.98166
419651.563,282580.3624,109668,,5576.481147
419693.1803,282683.1777,109665,,5576.481147
414361.9024,290166.0425,109374,,5573.556503
409580.3502,290084.2362,103391,M6 J6 (Spaghetti Jctn),5573.556503
422828.8454,282944.0082,103996,Birmingham Rd./Birmingham Rd.,5571.834709
421973.3551,283163.029,110205,,5571.834709
422077.8045,283144.3949,110318,,5571.834709
422722.1367,282960.6265,110429,,5571.834709
422463.5679,283039.8511,510723,,5571.834709
457683.7397,272789.3339,109077,,5571.318528
433651.4562,278591.9134,106543,Ringway St. Johns Rabt exit/entry,5566.107041
433726.9857,278617.2153,110199,,5566.107041
432220.748,273715.0399,108346,Kenilworth By Pass off slip,5557.338148
433889.2495,285407.6413,107709,M6 J3 Diverge West,5550.851734
422440.7376,286244.2706,108989,,5550.851734
422805.4043,286070.3533,109712,,5550.851734
423091.677,285970.7117,110828,,5550.851734
425610.8501,285626.6868,110829,,5550.851734
395141.4431,272407.0901,109709,,5549.014324
395186.7691,272500.3616,107654,M5 J4a Merge,5549.014324
419184.8614,283002.257,110122,,5547.442586
419283.356,283009.9422,110309,,5547.442586
421644.7505,286615.6406,109598,M42 & M6 Diverge,5542.20907
433996.6302,285342.0806,109711,,5542.20907
422417.9784,286228.3855,109710,,5542.20907
433900.2945,285381.5531,109713,,5542.20907
367065.8056,310186.135,100783,,5524.044163
430198.2632,270773.1882,108125,Kenilworth By Pass off slip,5495.022373
431816.8323,273126.3571,108344,Kenilworth By Pass on slip,5495.022373
455512.7189,300541.5856,514848,,5482.229966
456616.8172,302089.1672,514853,,5482.229966
457438.3059,303306.1921,514854,,5482.229966
456685.8413,302195.669,520607,,5482.229966
435974.3446,275800.5774,1000158,,5475.331901
434992.6485,284782.3931,109714,,5473.545903
438281.3057,282527.8935,110292,,5473.545903
438376.5242,282492.3228,109715,,5473.545903
409446.7291,290185.0278,106023,Update due to Merge Coding,5463.706703
409531.163,290128.4393,109653,M6 Junction 6 Southbound,5463.706703
419166.9346,289127.1093,107744,M42 J8,5434.54951
418727.6723,290764.1501,109754,M42 & M6 Merge,5434.54951
418725.2032,290862.1555,109603,,5434.54951
369749.4708,309434.2328,100812,,5428.226355
402137.454,293162.2708,102698,M5,5413.921968
401944.4025,290886.403,109704,,5413.921968
401980.2579,290988.1139,109708,,5413.921968
416866.8681,278467.2671,109379,,5376.218084
372605.1127,309136.2782,100861,,5358.105494
398959.8562,288610.731,109700,,5339.764338
401580.992,290027.1957,109703,,5339.764338
399007.9447,288705.4319,109705,,5339.764338
419610.2329,282543.0927,107447,M42 Rdbt entry/exit,5327.961852
419012.7418,280419.4604,1000111,,5327.961852
438674.9703,277503.736,115440,,5312.321141
414768.8465,299221.5917,103751,,5278.266948
407782.5295,288770.1304,106061,Dartmouth Cir./Aston Exprwy Rabt (Diverge),5261.329701
406819.0527,285550.7221,105906,Bristol St (Signal approach),5244.077977
419681.1689,286200.2951,109599,M42 & M6 Diverge,5220.306359
419859.6962,283849.002,1000081,,5220.306359
